Date,Price,Open,High,Low,Volume,Chg%
"Nov 02, 2015",10.3453,10.3515,10.3616,10.3111,0,-0.09%
"Nov 03, 2015",10.3485,10.3443,10.3842,10.3189,0,0.03%
"Nov 04, 2015",10.3552,10.3501,10.3588,10.3091,0,0.06%
"Nov 05, 2015",10.3779,10.3532,10.3843,10.3223,0,0.22%
"Nov 06, 2015",10.4108,10.3676,10.4108,10.347,0,0.32%
"Nov 09, 2015",10.4485,10.3872,10.4569,10.3828,0,0.36%
"Nov 10, 2015",10.4059,10.4465,10.4621,10.4018,0,-0.41%
"Nov 11, 2015",10.3762,10.4027,10.4133,10.3664,0,-0.29%
"Nov 12, 2015",10.371,10.3712,10.3898,10.3591,0,-0.05%
"Nov 13, 2015",10.3642,10.3688,10.3928,10.3558,0,-0.07%
"Nov 16, 2015",10.3412,10.3654,10.3884,10.3328,0,-0.22%
"Nov 17, 2015",10.3441,10.3408,10.3634,10.3349,0,0.03%
"Nov 18, 2015",10.342,10.3443,10.3878,10.338,0,-0.02%
"Nov 19, 2015",10.3541,10.3418,10.3817,10.3379,0,0.12%
"Nov 20, 2015",10.3458,10.3513,10.3806,10.3407,0,-0.08%
"Nov 23, 2015",10.3918,10.3476,10.4058,10.3307,0,0.44%
"Nov 24, 2015",10.37,10.3902,10.408,10.3657,0,-0.21%
"Nov 25, 2015",10.3875,10.3658,10.3923,10.3657,0,0.17%
"Nov 26, 2015",10.4178,10.3848,10.435,10.3812,0,0.29%
"Nov 27, 2015",10.4626,10.4093,10.4629,10.4059,0,0.43%
"Nov 30, 2015",10.3878,10.4489,10.4678,10.3798,0,-0.71%
"Dec 01, 2015",10.3822,10.3861,10.4105,10.3726,0,-0.05%
"Dec 02, 2015",10.4069,10.3802,10.4207,10.3801,0,0.24%
"Dec 03, 2015",10.44,10.4063,10.457,10.4005,0,0.32%
"Dec 04, 2015",10.4112,10.4381,10.472,10.4092,0,-0.28%
"Dec 07, 2015",10.4199,10.4094,10.4346,10.3838,0,0.08%
"Dec 08, 2015",10.4184,10.4188,10.4242,10.3913,0,-0.01%
"Dec 09, 2015",10.4006,10.416,10.4197,10.3819,0,-0.17%
"Dec 10, 2015",10.3695,10.3974,10.4139,10.3537,0,-0.30%
"Dec 11, 2015",10.402,10.3662,10.402,10.3376,0,0.31%
"Dec 14, 2015",10.3876,10.383,10.4011,10.3641,0,-0.14%
"Dec 15, 2015",10.3487,10.3856,10.3891,10.3312,0,-0.37%
"Dec 16, 2015",10.2692,10.346,10.3671,10.2592,0,-0.77%
"Dec 17, 2015",10.2443,10.2628,10.2893,10.2156,0,-0.24%
"Dec 18, 2015",10.2222,10.2389,10.2638,10.2141,0,-0.22%
"Dec 21, 2015",10.2226,10.2281,10.244,10.2091,0,0.00%
"Dec 22, 2015",10.2247,10.2214,10.2426,10.2111,0,0.02%
"Dec 23, 2015",10.1944,10.2213,10.237,10.1864,0,-0.30%
"Dec 24, 2015",10.1813,10.1937,10.2136,10.1773,0,-0.13%
"Dec 25, 2015",10.1948,10.1774,10.208,10.1772,0,0.13%
"Dec 28, 2015",10.1927,10.1916,10.2183,10.1823,0,-0.02%
"Dec 29, 2015",10.214,10.1912,10.244,10.1886,0,0.21%
"Dec 30, 2015",10.2409,10.2134,10.244,10.2099,0,0.26%
"Dec 31, 2015",10.1959,10.2383,10.2423,10.1737,0,-0.44%
"Jan 01, 2016",10.2,10.192,10.205,10.1798,0,0.04%
"Jan 04, 2016",10.1875,10.1853,10.2218,10.1658,0,-0.12%
"Jan 05, 2016",10.1926,10.1866,10.2206,10.18,0,0.05%
"Jan 06, 2016",10.1727,10.193,10.219,10.1692,0,-0.20%
"Jan 07, 2016",10.1459,10.1713,10.1857,10.094,0,-0.26%
"Jan 08, 2016",10.1338,10.144,10.1806,10.1033,0,-0.12%
"Jan 11, 2016",10.1622,10.1314,10.1754,10.1294,0,0.28%
"Jan 12, 2016",10.1858,10.1584,10.1884,10.1466,0,0.23%
"Jan 13, 2016",10.1769,10.1806,10.1838,10.1409,0,-0.09%
"Jan 14, 2016",10.2145,10.1737,10.2418,10.1592,0,0.37%
"Jan 15, 2016",10.2925,10.2133,10.3068,10.2032,0,0.76%
"Jan 18, 2016",10.2847,10.292,10.299,10.2552,0,-0.08%
"Jan 19, 2016",10.2962,10.2831,10.3063,10.2602,0,0.11%
"Jan 20, 2016",10.3304,10.2942,10.3623,10.2938,0,0.33%
"Jan 21, 2016",10.3039,10.328,10.3544,10.301,0,-0.26%
"Jan 22, 2016",10.2673,10.3054,10.3151,10.2651,0,-0.36%
"Jan 25, 2016",10.2981,10.27,10.3125,10.2537,0,0.30%
"Jan 26, 2016",10.2908,10.2919,10.3196,10.2812,0,-0.07%
"Jan 27, 2016",10.3597,10.2916,10.366,10.2875,0,0.67%
"Jan 28, 2016",10.35,10.3583,10.3802,10.339,0,-0.09%
"Jan 29, 2016",10.322,10.3473,10.3696,10.3049,0,-0.27%
"Feb 01, 2016",10.3118,10.3191,10.3324,10.2769,0,-0.10%
"Feb 02, 2016",10.331,10.3065,10.3413,10.2954,0,0.19%
"Feb 03, 2016",10.3291,10.3293,10.3756,10.3247,0,-0.02%
"Feb 04, 2016",10.2889,10.307,10.324,10.2652,0,-0.39%
"Feb 05, 2016",10.315,10.286,10.3196,10.26,0,0.25%
"Feb 08, 2016",10.3491,10.3196,10.3542,10.3044,0,0.33%
"Feb 09, 2016",10.3288,10.3461,10.3773,10.3198,0,-0.20%
"Feb 10, 2016",10.3227,10.3241,10.3434,10.3071,0,-0.06%
"Feb 11, 2016",10.4155,10.3168,10.4184,10.3051,0,0.90%
"Feb 12, 2016",10.3619,10.4094,10.4193,10.3546,0,-0.51%
"Feb 15, 2016",10.488,10.3559,10.5029,10.3559,0,1.22%
"Feb 16, 2016",10.507,10.4848,10.513,10.4525,0,0.18%
"Feb 17, 2016",10.4667,10.5045,10.5271,10.4608,0,-0.38%
"Feb 18, 2016",10.5145,10.4621,10.5294,10.4611,0,0.46%
"Feb 19, 2016",10.5091,10.5075,10.5337,10.5041,0,-0.05%
"Feb 22, 2016",10.5083,10.5263,10.5418,10.5013,0,-0.01%
"Feb 23, 2016",10.504,10.5064,10.5234,10.486,0,-0.04%
"Feb 24, 2016",10.4768,10.5013,10.516,10.4641,0,-0.26%
"Feb 25, 2016",10.5254,10.4709,10.5495,10.4637,0,0.46%
"Feb 26, 2016",10.5097,10.5231,10.5403,10.4928,0,-0.15%
"Feb 29, 2016",10.4071,10.5059,10.5141,10.4024,0,-0.98%
"Mar 01, 2016",10.3407,10.4028,10.4536,10.3242,0,-0.64%
"Mar 02, 2016",10.2879,10.316,10.3453,10.2842,0,-0.51%
