Date,Global_Confirmed,India_Confirmed
22-01-2020,555,0
23-01-2020,654,0
24-01-2020,941,0
25-01-2020,1434,0
26-01-2020,2118,0
27-01-2020,2927,0
28-01-2020,5578,0
29-01-2020,6166,0
30-01-2020,8234,1
31-01-2020,9927,1
01-02-2020,12038,1
02-02-2020,16787,2
03-02-2020,19881,3
04-02-2020,23892,3
05-02-2020,27635,3
06-02-2020,30794,3
07-02-2020,34391,3
08-02-2020,37120,3
09-02-2020,40150,3
10-02-2020,42762,3
11-02-2020,44802,3
12-02-2020,45221,3
13-02-2020,60368,3
14-02-2020,66885,3
15-02-2020,69030,3
16-02-2020,71224,3
17-02-2020,73258,3
18-02-2020,75136,3
19-02-2020,75639,3
20-02-2020,76197,3
21-02-2020,76819,3
22-02-2020,78572,3
23-02-2020,78958,3
24-02-2020,79561,3
25-02-2020,80406,3
26-02-2020,81388,3
27-02-2020,82746,3
28-02-2020,84112,3
29-02-2020,86011,3
01-03-2020,88369,3
02-03-2020,90306,5
03-03-2020,92840,5
04-03-2020,95120,28
05-03-2020,97886,30
06-03-2020,101801,31
07-03-2020,105847,34
08-03-2020,109821,39
09-03-2020,113590,43
10-03-2020,118620,56
11-03-2020,125875,62
12-03-2020,128352,73
13-03-2020,145219,82
14-03-2020,156116,102
15-03-2020,167466,113
16-03-2020,181603,119
17-03-2020,197113,142
18-03-2020,214846,156
19-03-2020,242616,194
20-03-2020,272247,244
21-03-2020,304555,330
22-03-2020,337018,396
23-03-2020,378282,499
24-03-2020,418079,536
25-03-2020,467723,657
26-03-2020,529701,727
27-03-2020,593423,887
28-03-2020,660824,987
29-03-2020,720285,1024
30-03-2020,782490,1251
31-03-2020,857608,1397
01-04-2020,932638,1998
02-04-2020,1013458,2543
03-04-2020,1095876,2567
04-04-2020,1176059,3082
05-04-2020,1249737,3588
06-04-2020,1321427,4778
07-04-2020,1396438,5311
08-04-2020,1480200,5916
09-04-2020,1565538,6725
10-04-2020,1657929,7598
11-04-2020,1736025,8446
12-04-2020,1835164,9205
13-04-2020,1905192,10453
14-04-2020,1975581,11487
15-04-2020,2055506,12322
16-04-2020,2151872,13430
17-04-2020,2239723,14352
18-04-2020,2317339,15722
19-04-2020,2400894,17615
20-04-2020,2471847,18539
21-04-2020,2549175,20080
22-04-2020,2624741,21370
23-04-2020,2708547,23077
24-04-2020,2795875,24530
25-04-2020,2881140,26283
26-04-2020,2955033,27890
27-04-2020,3023722,29451
28-04-2020,3097190,31324
29-04-2020,3172287,33062
30-04-2020,3256853,34863
01-05-2020,3343777,37257
