Date,GC,IC,GR,IR,GD,ID,Open,High,Low,Close,Shares Traded,Turnover
22-01-2020,555,0,28,0,17,0,12218.35,12225.05,12087.9,12106.9,526294513,19758.68
23-01-2020,654,0,30,0,18,0,12123.75,12189,12094.1,12180.35,867653663,23829.39
24-01-2020,941,0,36,0,26,0,12174.55,12272.15,12149.65,12248.25,593237908,18032.27
27-01-2020,2927,0,61,0,82,0,12197.1,12216.6,12107,12119,441158138,17988.61
28-01-2020,5578,0,107,0,131,0,12148.1,12163.55,12024.5,12055.8,478484057,20917.62
29-01-2020,6166,0,126,0,133,0,12114.9,12169.6,12103.8,12129.5,514362340,20646.18
30-01-2020,8234,1,143,0,171,0,12147.75,12150.3,12010.6,12035.8,538138743,19372.67
31-01-2020,9927,1,222,0,213,0,12100.4,12103.55,11945.85,11962.1,771278258,26044.91
01-02-2020,12038,1,284,0,259,0,11939,12017.35,11633.3,11661.85,537634767,20598.12
03-02-2020,19881,3,623,0,426,0,11627.45,11749.85,11614.5,11707.9,669815788,25415.26
04-02-2020,23892,3,852,0,492,0,11786.25,11986.15,11783.4,11979.65,560430291,22338.5
05-02-2020,27635,3,1124,0,564,0,12005.85,12098.15,11953.35,12089.15,758032580,22998.05
06-02-2020,30794,3,1487,0,634,0,12120,12160.6,12084.65,12137.95,565116236,21735.92
07-02-2020,34391,3,2011,0,719,0,12151.15,12154.7,12073.95,12098.35,473475144,16339.61
10-02-2020,42762,3,3946,0,1013,0,12102.35,12103.55,11990.75,12031.5,525674715,17185.14
11-02-2020,44802,3,4683,0,1113,0,12108.4,12172.3,12099,12107.9,480491557,16209.52
12-02-2020,45221,3,5150,0,1118,0,12151,12231.75,12144.3,12201.2,412399174,16598.33
13-02-2020,60368,3,6295,0,1371,0,12219.55,12225.65,12139.8,12174.65,501510138,16315.27
14-02-2020,66885,3,8058,0,1523,0,12190.15,12246.7,12091.2,12113.45,623053270,20759.51
17-02-2020,73258,3,12583,3,1868,0,12131.8,12159.6,12037,12045.8,455412408,15439.55
18-02-2020,75136,3,14352,3,2007,0,12028.25,12030.75,11908.05,11992.5,677307424,18853
19-02-2020,75639,3,16121,3,2122,0,12090.6,12134.7,12042.1,12125.9,514030605,17610.89
20-02-2020,76197,3,18177,3,2247,0,12119,12152,12071.45,12080.85,502875583,18831.51
24-02-2020,79561,3,25227,3,2629,0,12012.55,12012.55,11813.4,11829.4,491224913,19421.04
25-02-2020,80406,3,27905,3,2708,0,11877.5,11883.05,11779.9,11797.9,461349973,18510.82
26-02-2020,81388,3,30384,3,2770,0,11738.55,11783.25,11639.6,11678.5,567990976,21887.07
27-02-2020,82746,3,33277,3,2814,0,11661.25,11663.85,11536.7,11633.3,609266324,21623.47
28-02-2020,84112,3,36711,3,2872,0,11382,11384.8,11175.05,11201.75,810523106,32297.15
02-03-2020,90306,5,45602,3,3085,0,11387.35,11433,11036.25,11132.75,681148567,24204.55
03-03-2020,92840,5,48228,3,3160,0,11217.55,11342.25,11152.55,11303.3,696919348,23281.2
04-03-2020,95120,28,51170,3,3254,0,11351.35,11356.6,11082.15,11251,798021596,26928.46
05-03-2020,97886,30,53796,3,3347,0,11306.05,11389.5,11244.6,11269,1353209029,26980.65
06-03-2020,101801,31,55865,3,3459,0,10942.65,11035.1,10827.4,10989.45,1811564187,26455.29
09-03-2020,113590,43,62494,3,3987,0,10742.05,10751.55,10294.45,10451.45,1566119057,35151.79
11-03-2020,125875,62,67003,4,4614,1,10334.3,10545.1,10334,10458.4,1219079693,32548.47
12-03-2020,128352,73,68324,4,4722,1,10039.95,10040.75,9508,9590.15,1344263317,39283.97
13-03-2020,145219,82,70251,4,5408,2,9107.6,10159.4,8555.15,9955.2,1389061775,44167.89
16-03-2020,181603,119,78088,13,7150,2,9587.8,9602.2,9165.1,9197.4,898523271,29181.8
17-03-2020,197113,142,80840,14,7956,3,9285.4,9403.8,8915.6,8967.05,936185892,28004.16
18-03-2020,214846,156,83312,14,8823,3,9088.45,9127.55,8407.05,8468.8,1517275761,39256.71
19-03-2020,242616,194,84975,15,9946,4,8063.3,8575.45,7832.55,8263.45,926508824,34274.23
20-03-2020,272247,244,87420,20,11422,5,8284.45,8883,8178.2,8745.45,1072263600,37321.25
23-03-2020,378282,499,98351,27,16759,10,7945.7,8159.25,7583.6,7610.25,654151814,23891.9
24-03-2020,418079,536,108000,40,19014,10,7848.3,8036.95,7511.1,7801.05,739354439,28282.09
25-03-2020,467723,657,113787,43,21785,12,7735.15,8376.75,7714.75,8317.85,738114713,28482.01
26-03-2020,529701,727,122150,45,24788,20,8451,8749.05,8304.9,8641.45,866534643,32228.31
27-03-2020,593423,887,130915,73,28288,20,8949.1,9038.9,8522.9,8660.25,801923401,31336.86
30-03-2020,782490,1251,164566,102,39439,32,8385.95,8576,8244,8281.1,593953051,24724.44
31-03-2020,857608,1397,178034,123,44238,35,8529.35,8678.3,8358,8597.75,713390935,27401.3
01-04-2020,932638,1998,193177,148,49675,58,8584.1,8588.1,8198.35,8253.8,507509685,21307.3
03-04-2020,1095876,2567,225796,192,61812,72,8356.55,8356.55,8055.8,8083.8,697752438,26561.18
07-04-2020,1396438,5311,300054,421,86662,150,8446.3,8819.4,8360.95,8792.2,815245226,35206.69
08-04-2020,1480200,5916,328661,506,93354,178,8688.9,9131.7,8653.9,8748.75,897562690,37641.68
09-04-2020,1565538,6725,353975,620,100882,226,8973.05,9128.35,8904.55,9111.9,743036134,32907.82
13-04-2020,1905192,10453,448655,1181,125561,358,9103.95,9112.05,8912.4,8993.85,644468815,26749.06
14-04-2020,1975581,11487,474261,1359,132456,393,9196.4,9261.2,8874.1,8925.3,880159358,41878.64
16-04-2020,2151872,13430,542107,1768,147965,448,8851.25,9053.75,8821.9,8992.8,720116479,31318.29
17-04-2020,2239723,14352,568343,2041,156824,486,9323.45,9324,9091.35,9266.75,684910520,33334.73
20-04-2020,2471847,18539,645935,3273,173123,592,9390.2,9390.85,9230.8,9261.85,726364699,28620.91
21-04-2020,2549175,20080,680532,3975,180268,645,9016.95,9044.4,8909.4,8981.45,655122903,28273.89
22-04-2020,2624741,21370,710702,4370,186945,681,9026.75,9209.75,8946.25,9187.3,734383388,33981.82
23-04-2020,2708547,23077,739672,5012,193698,721,9232.35,9343.6,9170.15,9313.9,666650462,30270.55
24-04-2020,2795875,24530,790374,5498,200030,780,9163.9,9296.9,9141.3,9154.4,659439249,32859.05
27-04-2020,3023722,29451,874457,7137,214515,939,9259.7,9377.1,9250.35,9282.3,512793298,26696.54
28-04-2020,3097190,31324,907832,7747,220830,1008,9389.8,9404.4,9260,9380.9,614548983,30091.41
29-04-2020,3172287,33062,949315,8437,227696,1079,9408.6,9599.85,9392.35,9553.35,653026950,31673.23
30-04-2020,3256853,34863,1014775,9068,233388,1154,9753.5,9889.05,9731.5,9859.9,931173802,39332.46
