Date,USD,Euro,GBP,JPY,CNY,HKD,SGD,NIKK,SPF,STI,HSI,SSE,FTSE,CRUDE,GOLD,Maxc,Minc,Avgc,PLR,Close
02-Nov-15,65.56,72.23,101.07,0.54,10.35,8.46,46.93,18683.24,2104.05,2974.41,22370.04,3325.08,6361.80,3044.76,2646.83,8060.70,7995.60,7987.45,0.00,8050.80
04-Nov-15,65.61,71.29,100.95,0.54,10.36,8.46,46.75,18926.91,2102.31,3040.48,23053.57,3459.64,6412.90,3122.30,2592.22,8116.10,8027.30,7969.80,0.00,8040.20
05-Nov-15,65.86,71.68,100.15,0.54,10.38,8.50,46.81,19116.41,2099.93,3023.65,23051.04,3522.82,6364.90,3051.34,2581.72,8031.20,7944.10,7882.75,-0.01,7955.45
06-Nov-15,66.14,71.04,99.54,0.54,10.41,8.53,46.54,19265.60,2099.20,3010.47,22867.33,3590.03,6353.80,2983.01,2566.81,8002.65,7926.15,7875.78,0.00,7954.30
09-Nov-15,66.48,71.46,100.48,0.54,10.45,8.58,46.71,19642.74,2078.58,2997.72,22726.77,3646.88,6295.20,2960.77,2569.78,7937.75,7771.70,7771.48,0.00,7915.20
10-Nov-15,66.20,70.99,100.08,0.54,10.41,8.54,46.55,19671.26,2081.72,2981.59,22401.70,3640.49,6275.30,2941.80,2562.44,7885.10,7772.85,7737.85,-0.02,7783.35
11-Nov-15,66.07,70.99,100.51,0.54,10.38,8.52,46.53,19691.39,2075.00,2959.01,22352.17,3650.25,6297.20,2899.58,2550.64,7847.95,7819.10,7755.53,0.01,7825.00
13-Nov-15,66.06,71.21,100.63,0.54,10.36,8.52,46.39,19697.77,2023.04,2925.68,22396.14,3580.84,6118.30,2747.07,2540.91,7775.10,7730.90,7716.98,-0.01,7762.25
16-Nov-15,65.89,70.41,100.14,0.53,10.34,8.50,46.31,19596.91,2053.19,2915.73,22010.82,3606.96,6146.40,2720.48,2555.06,7838.85,7714.15,7689.05,0.01,7806.60
17-Nov-15,65.98,70.23,100.39,0.53,10.34,8.51,46.33,19393.69,2050.44,2916.78,22264.25,3604.79,6268.80,2741.90,2519.41,7860.45,7793.00,7749.00,0.00,7837.55
18-Nov-15,66.03,70.39,100.61,0.53,10.34,8.52,46.46,19630.63,2083.58,2886.08,22188.26,3568.47,6279.00,2726.36,2509.33,7843.40,7725.05,7750.83,-0.01,7731.80
19-Nov-15,66.09,70.94,101.06,0.54,10.35,8.53,46.77,19649.18,2081.24,2919.83,22500.22,3617.06,6329.90,2724.24,2525.88,7854.90,7765.45,7809.18,0.01,7842.75
20-Nov-15,66.06,70.33,100.35,0.54,10.35,8.52,46.75,19859.81,2089.17,2917.91,22754.72,3630.50,6334.60,2793.10,2535.82,7906.95,7817.80,7826.98,0.00,7856.55
