Date,SPF,Maxc,Avgc,Close
02-Nov-15,2104.05,8060.7,7987.45,8050.8
04-Nov-15,2102.31,8116.1,7969.8,8040.2
05-Nov-15,2099.93,8031.2,7882.75,7955.45
06-Nov-15,2099.2,8002.65,7875.78,7954.3
09-Nov-15,2078.58,7937.75,7771.48,7915.2
10-Nov-15,2081.72,7885.1,7737.85,7783.35
11-Nov-15,2075,7847.95,7755.53,7825
13-Nov-15,2023.04,7775.1,7716.98,7762.25
16-Nov-15,2053.19,7838.85,7689.05,7806.6
17-Nov-15,2050.44,7860.45,7749,7837.55
18-Nov-15,2083.58,7843.4,7750.83,7731.8
19-Nov-15,2081.24,7854.9,7809.18,7842.75
20-Nov-15,2089.17,7906.95,7826.98,7856.55
23-Nov-15,2086.59,7877.5,7832.98,7849.25
24-Nov-15,2089.14,7870.35,7829.48,7831.6
27-Nov-15,2090.11,7959.3,7875.45,7942.7
30-Nov-15,2080.41,7966,7932.48,7935.25
01-Dec-15,2102.63,7972.15,7939.45,7954.9
02-Dec-15,2079.51,7979.3,7924.18,7931.35
03-Dec-15,2049.62,7912.3,7842.25,7864.15
04-Dec-15,2091.69,7821.4,7788.33,7781.9
07-Dec-15,2077.07,7825.4,7710.5,7765.4
08-Dec-15,2063.59,7771.25,7659.78,7701.7
09-Dec-15,2047.62,7702.85,7597.6,7612.5
10-Dec-15,2052.23,7691.95,7600.48,7683.3
11-Dec-15,2012.37,7703.05,7590.05,7610.45
14-Dec-15,2021.94,7663.95,7506.9,7650.05
15-Dec-15,2043.41,7705,7548,7700.9
16-Dec-15,2073.07,7776.6,7557.23,7750.9
17-Dec-15,2041.89,7852.9,7585.48,7844.35
18-Dec-15,2005.55,7836.15,7620.25,7761.95
21-Dec-15,2021.15,7840.75,7605.68,7834.45
22-Dec-15,2038.97,7846.3,7622.85,7786.1
23-Dec-15,2064.29,7871.45,7700.88,7865.95
29-Dec-15,2078.36,7942.15,7751.6,7928.95
30-Dec-15,2063.36,7944.75,7733.08,7896.25
04-Jan-16,2012.66,7937.55,7600.25,7791.3
05-Jan-16,2016.71,7831.2,7610.15,7784.65
06-Jan-16,1990.26,7800.95,7612.18,7741
07-Jan-16,1943.09,7674.95,7380.63,7568.3
08-Jan-16,1922.03,7634.1,7352.38,7601.35
12-Jan-16,1938.68,7588.3,7351.45,7510.3
13-Jan-16,1890.28,7590.95,7326.33,7562.4
