Date,USD,CRUDE,GOLD,10DMA,EMA,Close
16-Nov-15,65.88600101,2720.476083,2555.055049,7915.385,7915.385,7806.6
17-Nov-15,65.9810009,2741.896335,2519.405723,7894.06,7901.233182,7837.55
18-Nov-15,66.03300078,2726.358987,2509.334725,7861.17,7870.427149,7731.8
19-Nov-15,66.09000057,2724.235882,2525.883996,7841.425,7865.39494,7842.75
20-Nov-15,66.05799945,2793.100289,2535.824866,7831.535,7863.786769,7856.55
23-Nov-15,66.39500046,2781.402157,2516.419638,7821.03,7861.14372,7849.25
24-Nov-15,66.26200021,2850.853099,2527.460862,7812.67,7855.772135,7831.6
26-Nov-15,66.56499972,2872.913785,2531.094496,7822.715,7860.86811,7883.8
27-Nov-15,66.90700107,2836.640502,2516.96434,7834.485,7875.746636,7942.7
30-Nov-15,66.46199916,2822.835375,2507.912464,7851.785,7886.565429,7935.25
1-Dec-15,66.43400151,2794.364891,2533.486356,7866.615,7898.989897,7954.9
2-Dec-15,66.59100153,2758.769056,2519.367639,7875.995,7904.873552,7931.35
3-Dec-15,66.79000108,2734.007017,2507.409395,7889.23,7897.46927,7864.15
4-Dec-15,66.64299952,2740.659491,2545.183368,7883.145,7876.456675,7781.9
7-Dec-15,66.77300044,2604.183772,2562.880267,7874.03,7856.264552,7765.4
8-Dec-15,66.85699963,2529.233087,2548.355037,7859.275,7828.161906,7701.7
9-Dec-15,66.85500166,2554.120004,2558.873277,7837.365,7788.950651,7612.5
10-Dec-15,66.75599955,2487.562306,2546.330483,7817.315,7769.741442,7683.3
11-Dec-15,67.14800145,2439.119096,2546.395323,7784.09,7740.779361,7610.45
14-Dec-15,67.09299794,2402.587656,2548.290097,7755.57,7724.283114,7650.05
15-Dec-15,66.86299872,2479.750596,2530.185108,7730.17,7720.031639,7700.9
16-Dec-15,66.4760002,2455.636306,2535.638398,7712.125,7725.644068,7750.9
17-Dec-15,66.42100195,2359.493929,2503.298095,7710.145,7747.226965,7844.35
18-Dec-15,66.25499786,2369.84846,2499.718782,7708.15,7749.90388,7761.95
21-Dec-15,66.25099907,2390.704373,2525.609682,7715.055,7765.275902,7834.45
22-Dec-15,66.24399904,2415.422607,2531.991715,7723.495,7769.062102,7786.1
