Count,Date,Close,CUP,DecisionTree,DUP,LinearSVR,LUP,RandomForest,RUP,Lasso,laUP,Ridge,riUP,Bay,BUP,GradientBoost,GUP,SGD,SUP,ES,EUP,ES_V,EvUP,LSTM,LUP,GRU,GrUP
1,17-Jul-19,11687.5,0,11687.5,0,11618.4119,0,11674.4886,0,11656.8246,0,11658.6013,0,11660.6647,0,11714.9086,0,11656.8246,0,11692.2991,0,11645.2155,0,11502.05092,0,11347.16195,0
2,18-Jul-19,11596.9,0,11596.9,0,11628.4758,1,11686.3187,1,11681.4471,1,11681.6102,1,11684.4519,1,11651.2094,0,11681.4471,1,11644.8094,0,11664.7202,1,11447.88049,0,11337.61611,0
3,19-Jul-19,11419.25,0,11419.25,0,11539.867,0,11601.273,0,11591.1825,0,11591.257,0,11594.0264,0,11528.5539,0,11591.1825,0,11516.359,0,11574.9666,0,11438.54592,0,11279.26634,0
4,22-Jul-19,11346.2,0,11346.2,0,11380.6335,0,11461.6775,0,11414.3976,0,11415.8674,0,11417.7197,0,11391.1642,0,11414.3976,0,11399.6806,0,11404.1955,0,11498.35977,1,11284.27354,1
5,23-Jul-19,11331.05,0,11331.05,0,11317.2642,0,11357.0887,0,11341.8134,0,11343.9917,0,11345.3468,0,11333.3857,0,11341.8134,0,11340.5081,0,11334.7455,0,11474.1319,0,11326.46783,1
6,24-Jul-19,11271.3,0,11271.3,0,11299.811,0,11322.7494,0,11326.7294,0,11328.5282,0,11330.0065,0,11284.2208,0,11326.7294,0,11292.7567,0,11318.7878,0,11515.29841,1,11424.53797,1
7,25-Jul-19,11252.15,0,11252.15,0,11252.7665,0,11273.2974,0,11267.3621,0,11270.3558,0,11271.1788,0,11263.0266,0,11267.3621,0,11262.8247,0,11263.7005,0,11508.77719,0,11410.90328,0
8,26-Jul-19,11284.3,1,11284.3,1,11230.3215,0,11273.2974,0,11248.2584,0,11250.7854,0,11251.7884,0,11263.0266,0,11248.2584,0,11273.5413,1,11243.3929,0,11491.42354,0,11351.63748,0
9,29-Jul-19,11189.2,0,11189.2,0,11254.6368,1,11280.3479,1,11280.209,1,11282.0484,1,11283.4593,1,11241.2121,0,11280.209,1,11236.92,0,11272.7116,1,11482.62002,0,11358.15777,1
10,30-Jul-19,11085.4,0,11085.4,0,11169.9247,0,11207.674,0,11185.6047,0,11188.2816,0,11189.1737,0,11159.7664,0,11185.6047,0,11150.9468,0,11181.5121,0,11447.0171,0,11424.41193,1
