Count,Date,Close,DecisionTree,LinearSVR,RandomForest,Lasso,Ridge,Bay,GradientBoost,SGD,ES,ES_V
1,17-Jul-19,11687.5,11687.5,11618.41185,11674.4886,11656.82463,11658.60134,11660.66474,11714.90864,11656.82463,11692.29908,11645.21545
2,18-Jul-19,11596.9,11596.9,11628.4758,11686.31867,11681.44706,11681.61018,11684.45187,11651.20937,11681.44706,11644.80935,11664.72018
3,19-Jul-19,11419.25,11419.25,11539.86704,11601.27296,11591.18253,11591.25703,11594.02637,11528.55389,11591.18253,11516.35895,11574.96661
4,22-Jul-19,11346.2,11346.2,11380.63353,11461.67754,11414.3976,11415.86742,11417.71967,11391.1642,11414.3976,11399.68058,11404.19548
5,23-Jul-19,11331.05,11331.05,11317.26419,11357.08866,11341.81341,11343.9917,11345.34677,11333.38573,11341.81341,11340.50813,11334.74552
6,24-Jul-19,11271.3,11271.3,11299.81104,11322.74939,11326.7294,11328.52824,11330.00651,11284.2208,11326.7294,11292.75673,11318.78781
7,25-Jul-19,11252.15,11252.15,11252.76645,11273.29743,11267.36209,11270.35582,11271.17882,11263.02658,11267.36209,11262.82467,11263.70054
8,26-Jul-19,11284.3,11284.3,11230.32145,11273.29743,11248.25835,11250.78543,11251.7884,11263.02658,11248.25835,11273.54134,11243.39289
9,29-Jul-19,11189.2,11189.2,11254.6368,11280.34785,11280.20899,11282.04842,11283.45925,11241.21212,11280.20899,11236.91999,11272.71155
10,30-Jul-19,11085.4,11085.4,11169.92472,11207.67399,11185.60474,11188.28164,11189.17369,11159.7664,11185.60474,11150.9468,11181.51211
11,01-Aug-19,10980,10980,11084.90227,11036.27034,11082.44069,11086.74033,11086.66496,11030.26516,11082.44069,11015.51183,11084.6019
12,02-Aug-19,10997.35,10997.35,10989.8033,10957.98141,10977.56165,10982.54466,10981.95449,10949.56372,10977.56165,10968.29838,10983.03926
13,05-Aug-19,10862.6,10862.6,11009.00738,10952.56547,10994.71468,10999.79992,10999.1041,10923.6277,10994.71468,10912.93106,11000.8719
14,06-Aug-19,10948.25,10948.25,10902.56526,10879.08441,10860.71468,10868.02347,10865.85358,10886.24897,10860.71468,10904.52779,10876.2834
15,07-Aug-19,10855.5,10855.5,10981.03576,10946.52476,10945.91586,10952.68697,10950.86861,10940.2492,10945.91586,10914.09132,10959.17569
16,08-Aug-19,11032.45,11032.45,10892.56945,10863.46863,10853.38586,10860.39227,10858.3901,10938.21624,10853.38586,10944.71162,10868.03664
17,09-Aug-19,11109.65,11109.65,11055.20813,11008.75362,11029.41664,11035.86182,11034.57994,11060.95014,11029.41664,11059.78459,11039.66357
18,13-Aug-19,10925.85,10925.85,11133.79338,11033.0553,11106.36178,11113.01037,11111.61692,11034.20353,11106.36178,10997.70294,11117.16521
19,14-Aug-19,11029.4,11029.4,10986.59488,10941.22597,10923.73648,10933.49133,10930.20002,10985.75241,10923.73648,10985.45946,10946.72199
20,16-Aug-19,11047.8,11047.8,11075.85812,11006.05057,11026.72238,11035.34721,11032.78358,11056.40095,11026.72238,11036.75051,11045.00484
21,19-Aug-19,11053.9,11053.9,11087.37909,11012.48348,11044.97756,11052.95964,11050.75767,11046.83774,11044.97756,11037.74041,11060.92883
22,20-Aug-19,11017,11017,11092.36255,11013.4537,11051.12551,11058.81569,11056.65903,11034.01907,11051.12551,11021.49092,11066.59747
23,21-Aug-19,10918.7,10918.7,11067.24558,10958.3368,11014.49505,11023.31092,11020.53857,10956.77724,11014.49505,10944.60468,11033.96448
24,22-Aug-19,10741.35,10741.35,10982.77201,10901.62663,10916.74238,10926.75607,10923.28278,10883.48095,10916.74238,10842.15253,10940.80093
25,23-Aug-19,10829.35,10829.35,10817.58572,10784.74049,10740.25918,10750.71798,10746.64545,10846.57031,10740.25918,10820.22027,10768.03255
26,26-Aug-19,11057.85,11057.85,10894.35705,10851.35218,10827.65196,10837.48529,10833.99878,10957.67476,10827.65196,10955.62565,10851.88823
27,27-Aug-19,11105.35,11105.35,11111.96472,11013.4537,11054.99271,11064.37597,11061.39335,11064.19831,11054.99271,11061.00067,11075.98817
28,28-Aug-19,11046.1,11046.1,11151.84024,11027.6025,11102.19308,11111.13768,11108.55581,11059.79333,11102.19308,11044.49861,11120.74524
29,29-Aug-19,10948.3,10948.3,11116.14558,11008.25998,11043.44979,11054.64129,11050.82013,11007.69595,11043.44979,10988.08531,11069.99516
30,30-Aug-19,11023.25,11023.25,11031.66443,10952.98478,10946.17939,10958.53486,10954.0409,10974.43385,10946.17939,10983.55621,10977.15032
31,03-Sep-19,10797.9,10797.9,11089.46026,10968.23842,11020.67979,11031.49437,11027.88936,10901.39162,11020.67979,10889.17668,11045.87678
32,04-Sep-19,10844.65,10844.65,10881.4372,10805.28721,10796.34838,10807.97864,10803.51895,10868.85659,10796.34838,10839.59793,10826.97284
33,05-Sep-19,10847.9,10847.9,10939.22958,10859.47439,10842.98599,10856.12584,10851.07041,10885.27208,10842.98599,10864.21549,10877.61907
34,06-Sep-19,10946.2,10946.2,10944.84196,10857.34087,10846.35205,10859.70821,10854.51925,10924.65294,10846.35205,10909.39794,10881.75183
