Date,Close,DT,RF,SVR,LASSO,RIDGE,BayR,GB,SGD,LSTM,GRU
09-Sep-20,11278,11339.2,11306.87625,11365.78868,11295.38534,11312.25667,11299.76086,11277.29954,11367.63295,11297.11051,11289.5
10-Sep-20,11449.25,11566.05,11413.99375,11465.54245,11398.03287,11410.41831,11403.63949,11339.2717,11466.363,11468.4375,11469.25
11-Sep-20,11464.45,11640.25,11364.6025,11446.43445,11402.07569,11400.64763,11410.2625,11291.06492,11446.33146,11391.78291,11484.95
14-Sep-20,11440.05,11585.15,11383.9975,11509.26105,11470.91521,11474.45676,11477.21709,11309.678,11515.27049,11332.21055,11470.05
15-Sep-20,11521.8,11612.9,11523.7,11626.60615,11579.67364,11589.51081,11584.63945,11445.428,11633.74757,11623.04393,11556.8
16-Sep-20,11604.55,11855,11441.59875,11502.10352,11447.5981,11456.40526,11453.30607,11406.62589,11504.65546,11520.89941,11638.55
17-Sep-20,11516.1,11730.5,11381.33,11569.98787,11542.55315,11536.13345,11550.75059,11316.428,11567.35397,11508.54264,11561.1
18-Sep-20,11504.95,11782.35,11280.495,11516.56324,11449.42759,11470.05119,11452.50736,11242.278,11521.18071,11390.04103,11554.95
23-Sep-20,11131.85,11364.6,10978.73,11213.59772,11173.04722,11170.39648,11181.75897,10913.828,11216.77516,11093.6576,11137.35
24-Sep-20,10805.55,11030.45,10660.28,10883.67307,10820.01424,10839.32665,10823.2424,10595.378,10888.46849,10691.01785,10841.55
25-Sep-20,11050.25,11221.15,10932.295,11161.47424,11110.96684,11128.4332,11113.78215,10894.078,11170.35927,11040.0136,11086.85
28-Sep-20,11227.55,11447.45,11060.595,11224.22308,11182.6873,11195.2879,11186.1864,11022.378,11232.33862,11160.12827,11254.55
29-Sep-20,11222.4,11417.5,11083.575,11262.76912,11239.90156,11233.763,11247.82173,11042.028,11264.62098,11084.30751,11239.9
30-Sep-20,11247.55,11345.75,11202.295,11396.61577,11348.27865,11358.96433,11353.14249,11164.078,11403.60187,11212.17223,11270.05
09-Oct-20,11914.2,12028.4,11869.2175,12008.38944,11911.24412,11945.24826,11912.07777,11828.2996,12007.99973,11784.95006,11940.4
12-Oct-20,11930.95,11964.45,11976.945,12073.36949,12012.17904,12019.15706,12018.99994,11946.65752,12072.16489,11916.49456,11970.95
14-Oct-20,11971.05,12057.9,11953.39875,12014.28391,11926.93366,11950.23529,11930.50544,11891.0217,12013.51179,11994.64257,11989.65
15-Oct-20,11680.35,11828.85,11576.19875,11670.62607,11613.99588,11612.17021,11623.15743,11490.79396,11665.04888,11742.71765,11709.55
16-Oct-20,11762.45,12025.85,11568.735,11718.63181,11647.61521,11653.14281,11655.88235,11513.778,11715.22279,11681.24203,11791.05
