Date,Close,DT,RF,SVR,LASSO,RIDGE,BayR,GB,SGD,LSTM,GRU
18-Nov-19,11884.5,11823.3,11913.37625,11972.28868,11901.88534,11918.75667,11906.26086,11883.79954,11974.13295,11930.11051,11896
19-Nov-19,11940.1,11823.3,11904.84375,11956.39245,11888.88287,11901.26831,11894.48949,11830.1217,11957.213,11994.2875,11960.1
20-Nov-19,11999.1,11823.3,11899.2525,11981.08445,11936.72569,11935.29763,11944.9125,11825.71492,11980.98146,11961.93291,12019.6
21-Nov-19,11968.4,11823.3,11912.3475,12037.61105,11999.26521,12002.80676,12005.56709,11838.028,12043.62049,11905.56055,11998.4
22-Nov-19,11914.4,11823.3,11916.3,12019.20615,11972.27364,11982.11081,11977.23945,11838.028,12026.34757,12065.64393,11949.4
25-Nov-19,12073.75,11823.3,11910.79875,11971.30352,11916.7981,11925.60526,11922.50607,11875.82589,11973.85546,12039.09941,12107.75
26-Nov-19,12037.7,11823.3,11902.93,12091.58787,12064.15315,12057.73345,12072.35059,11838.028,12088.95397,12090.14264,12082.7
27-Nov-19,12100.7,11823.3,11876.245,12112.31324,12045.17759,12065.80119,12048.25736,11838.028,12116.93071,12050.79103,12150.7
29-Nov-19,12056.05,11823.3,11902.93,12137.79772,12097.24722,12094.59648,12105.95897,11838.028,12140.97516,12038.3576,12061.55
02-Dec-19,12048.2,11823.3,11902.93,12126.32307,12062.66424,12081.97665,12065.8924,11838.028,12131.11849,11984.66785,12084.2
03-Dec-19,11994.2,11823.3,11876.245,12105.42424,12054.91684,12072.3832,12057.73215,11838.028,12114.30927,12035.5636,12030.8
04-Dec-19,12043.2,11823.3,11876.245,12039.87308,11998.3373,12010.9379,12001.8364,11838.028,12047.98862,12017.77827,12070.2
05-Dec-19,12018.4,11823.3,11879.575,12058.76912,12035.90156,12029.763,12043.82173,11838.028,12060.62098,11912.80751,12035.9
06-Dec-19,11921.5,11823.3,11876.245,12070.56577,12022.22865,12032.91433,12027.09249,11838.028,12077.55187,11923.62223,11944
09-Dec-19,11937.5,11823.3,11892.5175,12031.68944,11934.54412,11968.54826,11935.37777,11851.5996,12031.29973,11849.45006,11963.7
10-Dec-19,11856.8,11823.3,11902.795,11999.21949,11938.02904,11945.00706,11944.84994,11872.50752,11998.01489,11897.34456,11896.8
11-Dec-19,11910.15,11823.3,11892.49875,11953.38391,11866.03366,11889.33529,11869.60544,11830.1217,11952.61179,11967.34257,11928.75
12-Dec-19,11971.8,11823.3,11867.64875,11962.07607,11905.44588,11903.62021,11914.60743,11782.24396,11956.49888,12078.36765,12001
13-Dec-19,12086.7,11823.3,11892.985,12042.88181,11971.86521,11977.39281,11980.13235,11838.028,12039.47279,12049.09203,12115.3
16-Dec-19,12053.95,11823.3,11902.93,12131.08676,12082.33728,12079.80887,12091.55797,11838.028,12130.48696,12152.16453,12078.15
17-Dec-19,12165,11823.3,11876.245,12149.78483,12061.46718,12081.18252,12066.78547,11838.028,12149.77873,12217.92525,12190.6
18-Dec-19,12221.65,11823.3,11902.93,12211.1089,12159.7439,12158.56448,12168.72475,11838.028,12208.77921,12266.66821,12315.95
20-Dec-19,12271.8,11823.3,11902.93,12262.47032,12217.81967,12216.03159,12226.78179,11838.028,12265.13195,12237.54333,12294.2
23-Dec-19,12262.75,11823.3,11902.93,12328.53978,12270.93768,12272.6498,12280.14382,11838.028,12332.13966,12301.58169,12292.15
24-Dec-19,12214.55,11823.3,11902.93,12320.16164,12260.68756,12262.76382,12269.73233,11838.028,12321.03238,12278.35237,12231.75
27-Dec-19,12245.8,11823.3,11902.93,12300.9308,12220.18696,12236.27456,12226.42013,11838.028,12303.10584,12211.39324,12264.4
30-Dec-19,12255.85,11823.3,11902.93,12305.08628,12240.56079,12239.69525,12250.75102,11838.028,12300.38144,12188.13919,12272.75
06-Jan-20,11993.05,11823.3,11902.93,12316.13097,12254.93986,12258.85504,12263.53983,11838.028,12317.66954,12141.19474,12029.25
07-Jan-20,12052.95,11823.3,11876.245,12170.51682,12014.18498,12067.56226,12013.70223,11838.028,12161.96422,12032.91655,12086.85
08-Jan-20,12025.35,11823.3,11876.245,12177.33276,12061.34253,12088.17267,12066.35137,11838.028,12169.01803,12060.24881,12050.75
09-Jan-20,12215.9,11823.3,11879.575,12122.5943,12021.56265,12026.06922,12032.45486,11838.028,12106.36808,12177.35352,12241.6
10-Jan-20,12256.8,11823.3,11902.93,12296.04181,12210.88315,12211.14961,12222.37053,11838.028,12285.76032,12223.02335,12279.2
14-Jan-20,12362.3,11823.3,11902.93,12350.55084,12259.36959,12272.50082,12267.37526,11838.028,12346.72812,12284.1168,12385.8
15-Jan-20,12343.3,11823.3,11902.93,12432.38663,12358.85439,12359.36574,12369.79116,11838.028,12429.31284,12375.5621,12362.8
16-Jan-20,12355.5,11823.3,11902.93,12418.01619,12339.4301,12340.29738,12350.56281,11838.028,12412.60126,12344.137,12381.8
17-Jan-20,12352.35,11823.3,11902.93,12455.09978,12355.94291,12364.84329,12366.27031,11838.028,12448.67239,12240.93567,12389.45
21-Jan-20,12169.85,11823.3,11902.93,12459.84144,12353.3605,12363.05462,12364.07497,11838.028,12452.18346,12138.80174,12133.45
22-Jan-20,12106.9,11823.3,11902.93,12310.50409,12176.02804,12195.70083,12185.4603,11838.028,12298.24099,12018.69294,12132.3
23-Jan-20,12180.35,11823.3,11902.93,12280.24709,12120.03098,12156.85576,12125.66128,11838.028,12265.47457,12201.16471,12203.55
03-Feb-20,11707.9,11823.3,11902.93,12292.11645,12176.03212,12179.69748,12188.85923,11838.028,12273.50977,11776.07979,11686.7
04-Feb-20,11979.65,11796.45,11712.30549,11854.30672,11708.16167,11722.88572,11718.69299,11688.72411,11825.60493,11962.26466,11956.32
05-Feb-20,12089.15,11823.3,11909.9975,12091.02089,11969.80944,11971.81081,11982.53829,11867.0292,12060.12697,12140.36713,12059.91
06-Feb-20,12137.95,11823.3,11902.93,12212.98002,12082.79281,12087.31636,12096.01726,11838.028,12185.99761,12200.32431,12064.95
07-Feb-20,12098.35,11823.3,11902.93,12275.31852,12137.49761,12147.43777,12150.12892,11838.028,12254.70709,12067.48479,12081.12
10-Feb-20,12031.5,11823.3,11902.93,12248.70151,12103.53287,12123.096,12113.63452,11838.028,12231.28883,11973.62636,12021.5
12-Feb-20,12201.2,11823.3,11876.245,12208.74405,12038.38174,12064.33617,12048.1981,11838.028,12184.5006,12358.1519,12173.2
13-Feb-20,12174.65,11823.3,11902.93,12339.74435,12201.47894,12213.47116,12213.58168,11838.028,12320.18686,12148.19685,12199.65
14-Feb-20,12113.45,11823.3,11902.93,12336.29356,12178.93799,12198.4116,12190.194,11838.028,12315.3324,12168.97241,12136.45
18-Feb-20,11992.5,11823.3,11902.93,12323.23775,12129.04235,12173.30866,12135.00648,11838.028,12301.20143,11951.30278,12014.5
19-Feb-20,12125.9,11823.3,11916.3,12165.59749,11993.26716,12010.30383,12005.8914,11838.028,12133.79145,12111.43576,12145.9
20-Feb-20,12080.85,11823.3,11902.93,12277.33122,12122.70607,12130.5592,12137.23106,11838.028,12248.66704,12020.13316,12105.85
25-Feb-20,11797.9,11823.3,11902.93,12265.58657,12089.31354,12116.15165,12099.61668,11838.028,12242.76556,11842.7627,11800.9
26-Feb-20,11678.5,11724.1,11727.35053,11894.43262,11805.57675,11826.07153,11810.04689,11749.38719,11891.10277,11660.99844,11682
27-Feb-20,11633.3,11796.45,11702.61506,11790.76766,11687.86161,11714.40836,11691.08923,11696.88145,11782.84313,11532.57135,11637.3
28-Feb-20,11201.75,11796.45,11647.84466,11640.45396,11628.76383,11625.94434,11633.79216,11700.15981,11643.32124,11204.70588,11206.25
02-Mar-20,11132.75,11157,11213.3525,11325.08102,11221.26254,11267.29128,11217.05389,11241.72524,11320.13293,11051.52096,11137.75
03-Mar-20,11303.3,11132,11181.595,11381.33996,11165.4457,11252.09489,11156.41915,11133.891,11353.2558,11347.41634,11308.8
04-Mar-20,11251,11234.35,11309.23388,11364.96014,11298.58002,11302.73437,11304.7761,11318.28793,11347.06474,11317.35412,11257
05-Mar-20,11269,11234.35,11267.695,11414.00522,11255.56583,11286.16293,11260.35528,11297.7234,11377.39329,10876.80795,11275.5
06-Mar-20,10989.45,11234.35,11281.4225,11393.79365,11281.40501,11312.72038,11282.99398,11317.37055,11381.64205,10391.42177,10996.45
09-Mar-20,10451.45,11083.7,10820.2925,11077.39049,10985.75142,10993.85629,10991.96054,10867.66085,11049.47823,9457.95084,10458.95
12-Mar-20,9590.15,10358.85,10516.67865,10600.1433,10479.11833,10553.95669,10464.27809,10471.63758,10583.64916,9016.191634,9561.15
16-Mar-20,9197.4,9657.55,9807.61,9782.327104,9640.346781,9755.45494,9612.285015,9692.930038,9771.358366,8801.803587,9225.4
17-Mar-20,8967.05,9342.15,9295.2075,9375.64624,9244.613456,9347.280602,9219.210077,9256.175388,9362.646413,8214.572274,8940.05
18-Mar-20,8468.8,9595.1,9421.4525,9263.44543,9019.99222,9142.379593,8996.720166,9350.817276,9221.277726,7919.650884,8442.8
19-Mar-20,8263.45,8740.95,8767.3375,8855.600913,8549.309844,8733.721038,8509.34716,8853.234788,8812.599116,7461.136484,8236.45
23-Mar-20,7610.25,9509.75,9140.583083,8496.717499,8282.311672,8364.36203,8266.35896,8872.639859,8412.563516,7490.203765,7582.25
24-Mar-20,7801.05,7546.45,7926.11375,7979.596042,7679.834212,7835.519615,7647.217382,7791.848106,7921.096235,8124.042344,7831.05
25-Mar-20,8317.85,9595.1,9063.544583,8095.784153,7819.736966,7890.730325,7812.386378,8523.416241,7994.857656,8613.095402,8287.85
26-Mar-20,8641.45,9595.1,9214.2225,8452.745786,8296.684954,8306.475262,8299.178235,8767.698649,8346.204598,8532.373065,8611.45
27-Mar-20,8660.25,9595.1,9314.857063,8863.555882,8640.85686,8674.017435,8643.333622,9116.617091,8769.326935,8035.359582,8690.25
30-Mar-20,8281.1,9595.1,9351.271786,8969.65623,8702.767684,8811.608999,8684.795734,9214.799477,8905.990418,8305.792601,8311.1
31-Mar-20,8597.75,9595.1,9209.074286,8658.928528,8320.697367,8417.145902,8312.533577,9013.189016,8573.057399,8136.640428,8627.75
01-Apr-20,8253.8,9595.1,9312.271411,8799.159323,8598.28325,8623.527319,8602.051074,9100.393549,8714.909572,7837.430408,8283.8
03-Apr-20,8083.8,9595.1,9169.833125,8567.364325,8295.510717,8394.414257,8280.83731,8940.15043,8500.169592,7872.089283,8113.8
07-Apr-20,8792.2,9595.1,9133.255643,8405.271527,8120.026673,8205.086656,8110.874952,8702.169329,8329.126641,9464.373327,8802.2
08-Apr-20,8748.75,9595.1,9346.227813,8966.127231,8776.460041,8784.696263,8784.317812,9205.281769,8866.758683,8721.039959,8757.75
09-Apr-20,9111.9,9595.1,9386.5725,9163.577125,8796.339847,8917.786504,8782.942241,9299.336187,9079.443171,9427.460153,9127.5
16-Apr-20,8992.8,9595.1,9493.73,9330.79996,9106.76912,9119.345781,9118.036226,9418.763162,9242.788158,8878.83088,9010.08
17-Apr-20,9266.75,9595.1,9484.82,9255.272746,8995.700457,9023.690605,9004.712235,9363.687148,9164.138251,9537.799543,9305.25
20-Apr-20,9261.85,9595.1,9559.1775,9531.316472,9268.910535,9296.494156,9278.880903,9524.158425,9441.76693,9254.789465,9291.15
21-Apr-20,8981.45,9595.1,9551.16875,9544.942617,9279.78981,9327.655892,9284.023959,9553.268361,9472.781424,8683.11019,9007.05
22-Apr-20,9187.3,9595.1,9438.955,9222.462081,8988.894603,9015.886061,8996.619971,9335.465327,9145.64302,9385.705397,9201.4
23-Apr-20,9313.9,9595.1,9500.555833,9400.691424,9181.043746,9194.280615,9191.700312,9454.927229,9312.54353,9446.756254,9330.02
24-Apr-20,9154.4,9595.1,9579.45875,9522.649064,9313.052218,9328.457973,9322.989812,9577.302626,9446.705901,8995.747782,9178.05
27-Apr-20,9282.3,9595.1,9510.6275,9466.356229,9175.528228,9229.70261,9179.651287,9516.396872,9389.269751,9389.071772,9303.1
